CL	CL_plane	Name_identical	Related	Merged	Naked_merged
105KC_EGA	105KC	105KC_EGA		105KC_EGA	105KC
143B_EGA	143B	143B_EGA	HOS_CCLE,HOS_COSMIC,HOS_GDC	143B_EGA,HOS_CCLE,HOS_COSMIC,HOS_GDC	143B,HOS
201T_COSMIC	201T	201T_COSMIC		201T_COSMIC	201T
22RV1_CCLE	22RV1	22RV1_CCLE,22RV1_COSMIC,22Rv1_GDC		22RV1_CCLE,22RV1_COSMIC,22Rv1_GDC	22RV1,22R1
22RV1_COSMIC	22RV1	22RV1_CCLE,22RV1_COSMIC,22Rv1_GDC		22RV1_CCLE,22RV1_COSMIC,22Rv1_GDC	22RV1,22R1
22Rv1_GDC	22RV1	22RV1_CCLE,22RV1_COSMIC,22Rv1_GDC		22RV1_CCLE,22RV1_COSMIC,22Rv1_GDC	22RV1,22R1
2313287_CCLE	2313287	2313287_CCLE,23132-87_COSMIC,23132_87_EGA,23132_87_GDC		2313287_CCLE,23132-87_COSMIC,23132_87_EGA,23132_87_GDC	2313287
23132-87_COSMIC	2313287	2313287_CCLE,23132-87_COSMIC,23132_87_EGA,23132_87_GDC		2313287_CCLE,23132-87_COSMIC,23132_87_EGA,23132_87_GDC	2313287
23132_87_EGA	2313287	2313287_CCLE,23132-87_COSMIC,23132_87_EGA,23132_87_GDC		2313287_CCLE,23132-87_COSMIC,23132_87_EGA,23132_87_GDC	2313287
23132_87_GDC	2313287	2313287_CCLE,23132-87_COSMIC,23132_87_EGA,23132_87_GDC		2313287_CCLE,23132-87_COSMIC,23132_87_EGA,23132_87_GDC	2313287
253JBV_CCLE	253JBV	253JBV_CCLE,253J-BV_GDC	253J_CCLE,253J_GDC	253JBV_CCLE,253J-BV_GDC,253J_CCLE,253J_GDC	253JBV,253J
253J-BV_GDC	253JBV	253JBV_CCLE,253J-BV_GDC	253J_CCLE,253J_GDC	253JBV_CCLE,253J-BV_GDC,253J_CCLE,253J_GDC	253JBV,253J
253J_CCLE	253J	253J_CCLE,253J_GDC	253JBV_CCLE,253JBV_GDC	253JBV_CCLE,253JBV_GDC,253J_CCLE,253J_GDC	253JBV,253J
253J_GDC	253J	253J_CCLE,253J_GDC	253JBV_CCLE,253JBV_GDC	253JBV_CCLE,253JBV_GDC,253J_CCLE,253J_GDC	253JBV,253J
42MGBA_CCLE	42MGBA	42MGBA_CCLE,42-MG-BA_COSMIC,42-MG-BA_GDC		42MGBA_CCLE,42-MG-BA_COSMIC,42-MG-BA_GDC	42MGBA
42-MG-BA_COSMIC	42MGBA	42MGBA_CCLE,42-MG-BA_COSMIC,42-MG-BA_GDC		42MGBA_CCLE,42-MG-BA_COSMIC,42-MG-BA_GDC	42MGBA
42-MG-BA_GDC	42MGBA	42MGBA_CCLE,42-MG-BA_COSMIC,42-MG-BA_GDC		42MGBA_CCLE,42-MG-BA_COSMIC,42-MG-BA_GDC	42MGBA
451LU_COSMIC	451LU	451LU_COSMIC		451LU_COSMIC	451LU
501A_EGA	501A	501A_EGA		501A_EGA	501A
537_MEL_EGA	537MEL	537_MEL_EGA		537_MEL_EGA	537MEL
