Cl1	Cl2	Reason	Sources	Sources2	Sources3
7860	786O	Synonym			
253J	253JBV	Synonym			
AU565	SKBR3	Related	http://www.lgcstandards-atcc.org/products/all/CRL-2351.aspx?geo_country=de#characteristics		
BE13	PEER	Synonym	https://www.dsmz.de/catalogues/details/culture/ACC-396.html		
C3A	HEPG2	Related	https://www.atcc.org/~/ps/CRL-10741.ashx		
CMK115	CMK	Synonym			
COLO201	COLO205	Related			
COLO320HSR	COLO320	Synonym			
COLO704	COLO684	Synonym	https://github.com/naarkhoo/DLBCL_NMF/blob/master/data/CCLE_Kim_Tamayo_96AffyCEL_FAZES_Oct12.v2.txt		
COLO775	RPMI8226	Related	https://github.com/naarkhoo/DLBCL_NMF/blob/master/data/CCLE_Kim_Tamayo_96AffyCEL_FAZES_Oct12.v2.txt		
COLO800	COLO818	Related	https://www.dsmz.de/catalogues/details/culture/ACC-81.html		
EOL1	EOL1CELL	Synonym			
FTC133	FTC238	Related	http://www.sigmaaldrich.com/catalog/product/sigma/94060902?lang=de&region=DE		
GP2D	GP5D	Related	http://www.phe-culturecollections.org.uk/products/celllines/generalcell/detail.jsp?refId=95090715&collection=ecacc_gc		
GT3TKB	RERFLCAI	Related	http://web.expasy.org/cellosaurus/CVCL_1237		
H3255	NCIH3255	Synonym			
H9	HUT78	Related	http://www.lgcstandards-atcc.org/products/all/HTB-176.aspx?geo_country=de		
HCC1588	LS513	Related	https://github.com/naarkhoo/DLBCL_NMF/blob/master/data/CCLE_Kim_Tamayo_96AffyCEL_FAZES_Oct12.v2.txt		
HMCB	CHL1	Related	https://genome-cancer.ucsc.edu/download/public/xena/other/ccle/ccle_clinicalMatrix		
HEC1A	HEC1	Synonym			
HEC1B	HEC1	Synonym			
HEL9217	HEL	Synonym			
HEY	HEYA8	Synonym			
HLE	HLF	Related	http://www.ncbi.nlm.nih.gov/pubmed/16643607	http://www.ncbi.nlm.nih.gov/pubmed/20143388	http://www.ncbi.nlm.nih.gov/pubmed/52570
HOP92	U251	Related	ftp://ftp.sanger.ac.uk/pub/resources/theses/ikediobi/chapter3.pdf		
HRT18	HCT15	Related	https://www.phe-culturecollections.org.uk/products/celllines/generalcell/detail.jsp?refId=91030712&collection=ecacc_gc		
HTK	HOS	Related	https://github.com/naarkhoo/DLBCL_NMF/blob/master/data/CCLE_Kim_Tamayo_96AffyCEL_FAZES_Oct12.v2.txt		
HUH6CLONE5	HUH6	Synonym			
IGR39	IGR37	Related			
IMR5	IMR32	Related			
KARPAS422	OCILY10	Related	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3770813/		
KP1NL	KP1N	Synonym			
KPL1	MCF7	Known cross-contamination or derivation			
LC1F	LC1SQSF	Synonym			
LC1SQ	LC1F	Synonym			
LC1SQSF	LC1SQ	Synonym			
LU99A	LU99	Synonym			
M059J	M059K	Related			
M059K	M059J	Synonym			
M059KJ	M059K	Synonym			
M14	MDAMB435	Known cfross-contamination or derivation			
M14	MDAMB435S	Known cfross-contamination or derivation			
MCIXC	SKNMC	Related	http://www.flintbox.com/public/project/23047/		
MDAMB435	M14	Known cfross-contamination or derivation			
MDAMB435	MDAMB435S	Known cfross-contamination or derivation			
MDAMB435	MDAN	Known cfross-contamination or derivation			
MDAN	M14	Known cfross-contamination or derivation			
MDAN	MDAMB435S	Known cfross-contamination or derivation			
MKN28	MKN74	Related	http://cellbank.nibiohn.go.jp//legacy/celldata/jcrb0255.htm		
MONOMAC1	MONOMAC6	Related			
NCIADRRES	OVCAR8	Synonym	https://www.dsmz.de/catalogues/details/culture/ACC-252.html?tx_dsmzresources_pi5%255BreturnPid%255D=192		
NCIH1770	NCIH2106	Related	http://www.lgcstandards-atcc.org/products/all/CRL-5893.aspx?geo_country=de#characteristics		
NCIH1993	NCIH2073	Related			
NCIH510	NCIH510A	Synonym	http://pubs.acs.org/doi/abs/10.1021/acs.jproteome.5b00819		
NCIH510A	NCIH510	Synonym			
NCISNU1	SNU1	Synonym			
NCISNU5	SNU5	Synonym			
OC314	OC316	Synonym			
ONCODG1	OVCAR3	Related	https://www.dsmz.de/catalogues/details/culture/ACC-507.html		
OVCAR3	NIHOVCAR3	Synonym			
OVCAR8	NCIADRRES	Known cfross-contamination or derivation			
PECAPJ15	CAPJ15	Synonym			
RT112	RT11284	Synonym			
SHSY5Y	SKNSH	Related	http://www.lgcstandards-atcc.org/products/all/CRL-2266.aspx?geo_country=de		
SNB19	U251	Related	http://www.sciencedirect.com/science/article/pii/S037811191400242X		
SNU1	NCISNU1	Synonym			
SNU5	NCISNU5	Synonym			
SNUC2A	SNUC2B	Related			
SNUC2B	SNUC2A	Synonym			
SR	SR786	Known cross-contamination or derivation			
SW480	SW620	Related	https://www.ncbi.nlm.nih.gov/pubmed/11113861		
SW579	CGTHW1	Related	https://www.dsmz.de/de/kataloge/catalogue/culture/ACC-360.html		
T24	ACCS	Related	http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0006040		
TOV112D	HS571T	Related	https://github.com/naarkhoo/DLBCL_NMF/blob/master/data/CCLE_Kim_Tamayo_96AffyCEL_FAZES_Oct12.v2.txt		
TUR	U937	Related	http://www.ncbi.nlm.nih.gov/pubmed/7720732		
U118MG	U138MG	Related	http://www.clsgmbh.de/p511_U-138_MG.html		
U266	U266B1	Synonym			
UO31	U031	Synonym			
WM115	WM2664	Related	http://www.biomol.de/product_WM115-Purified-RNA.html?aRelated=WM115-04		
WM793	WM793B	Synonym			
WM793B	WM793	Synonym			
YMB1E	ZR751	Related	http://web.expasy.org/cellosaurus/CVCL_2814		
NCIH322T	NCIH322M	Related			
SW527	SW620	Known cross-contamination or derivation	https://en.wikipedia.org/wiki/List_of_contaminated_cell_lines		
SW527	SW480	Known cross-contamination or derivation	https://en.wikipedia.org/wiki/List_of_contaminated_cell_lines		
COLO206F	COLO205	Related	http://www.sigmaaldrich.com/catalog/product/sigma/93052620?lang=de&region=DE		
C32	C32TG	Related			
