CL	CL_source	Found_muts	Count_mutations	P_values	Q_values	Conf_score	P_value_sig	Q_value_sig	Conf_score_sig
HT29	CELLMINER	602	650	0	0	100	TRUE	TRUE	TRUE
HT-29	COSMIC	346	484	0	0	100	TRUE	TRUE	TRUE
HT29	CCLE	56	78	1.16156615730631e-169	7.68182418698575e-167	382.49	TRUE	TRUE	FALSE
HCC_2998	CELLMINER	5	9359	0.185353894220672	1	0	FALSE	FALSE	FALSE
KM12	CELLMINER	5	3541	1	1	0	FALSE	FALSE	FALSE
SF_539	CELLMINER	5	331	0.12711504206132	1	0	FALSE	FALSE	FALSE
MOLT_4	CELLMINER	4	4323	0.908395846971207	1	0	FALSE	FALSE	FALSE
RKO	COSMIC	4	3240	0.000100040478485594	0.0496200773288545	3	TRUE	TRUE	FALSE
HCT_15	CELLMINER	3	8332	0.384977175406425	1	0	FALSE	FALSE	FALSE
RPMI_8226	CELLMINER	3	689	0.972905077183545	1	0	FALSE	FALSE	FALSE
HCT_116	CELLMINER	3	3141	0.977730935002353	1	0	FALSE	FALSE	FALSE
MOLT-4	COSMIC	3	6548	0.000702107945906588	0.254543787394958	1.37	TRUE	FALSE	FALSE
NCI-H250	COSMIC	3	956	0.002836505250574	0.468968868094902	0.76	TRUE	FALSE	FALSE
SNU-81	COSMIC	3	9598	0.0010263862394958	0.254543787394958	1.37	TRUE	FALSE	FALSE
LS-180	COSMIC	3	2621	0.00100448230604795	0.254543787394958	1.37	TRUE	FALSE	FALSE
MEWO	COSMIC	3	7280	0.000909582650368134	0.254543787394958	1.37	TRUE	FALSE	FALSE
SUP-HD1	COSMIC	3	2147	0.0012496502680545	0.275478459091126	1.29	TRUE	FALSE	FALSE
RO82-W-1	COSMIC	3	217	0.0251843953421207	1	0	TRUE	FALSE	FALSE
SK_MEL_2	CELLMINER	2	945	0.956927268119071	1	0	FALSE	FALSE	FALSE
NCI_H23	CELLMINER	2	1048	0.999999999999998	1	0	FALSE	FALSE	FALSE
OVCAR_4	CELLMINER	2	305	0.998715225348336	1	0	FALSE	FALSE	FALSE
K_562	CELLMINER	2	500	0.998659734894568	1	0	FALSE	FALSE	FALSE
T47D	CELLMINER	2	433	0.992128799597631	1	0	FALSE	FALSE	FALSE
U251	CELLMINER	2	563	0.999937567698849	1	0	FALSE	FALSE	FALSE
COLO205	CELLMINER	2	330	0.970302666585858	1	0	FALSE	FALSE	FALSE
MDA_MB_231	CELLMINER	2	431	0.997824527473862	1	0	FALSE	FALSE	FALSE
OVCAR_3	CELLMINER	2	288	0.784451078834598	1	0	FALSE	FALSE	FALSE
NCI_H226	CELLMINER	2	199	0.968803986876761	1	0	FALSE	FALSE	FALSE
PC_3	CELLMINER	2	226	0.999532651373535	1	0	FALSE	FALSE	FALSE
RL95-2	COSMIC	2	2966	0.0146235453276567	1	0	TRUE	FALSE	FALSE
HEC-1	COSMIC	2	4903	0.0414467850097753	1	0	TRUE	FALSE	FALSE
CW-2	COSMIC	2	9831	0.00274316554604977	0.468968868094902	0.76	TRUE	FALSE	FALSE
HCC1569	COSMIC	2	1973	0.064146431975887	1	0	FALSE	FALSE	FALSE
CTV-1	COSMIC	2	5135	0.058525088795756	1	0	FALSE	FALSE	FALSE
H2810	COSMIC	2	215	0.030786270000706	1	0	TRUE	FALSE	FALSE
CCK-81	COSMIC	2	3575	0.0387899791310159	1	0	TRUE	FALSE	FALSE
REH	COSMIC	2	2079	0.00274316554604977	0.468968868094902	0.76	TRUE	FALSE	FALSE
LOVO	COSMIC	2	2197	0.061216618651044	1	0	FALSE	FALSE	FALSE
NCI-H2347	COSMIC	2	1201	0.356433861266261	1	0	FALSE	FALSE	FALSE
23132-87	COSMIC	2	2399	0.016078291402688	1	0	TRUE	FALSE	FALSE
EN	COSMIC	2	6885	0.0137582717443788	1	0	TRUE	FALSE	FALSE
HT	COSMIC	2	1967	0.314485555490492	1	0	FALSE	FALSE	FALSE
NCI-H2087	COSMIC	2	715	0.533706125823973	1	0	FALSE	FALSE	FALSE
RCC-MF	COSMIC	2	253	0.175408223628632	1	0	FALSE	FALSE	FALSE
NCI-H2110	COSMIC	2	2317	0.0132292272079162	1	0	TRUE	FALSE	FALSE
H513	COSMIC	2	2664	0.0562519526853507	1	0	FALSE	FALSE	FALSE
ES8	COSMIC	2	326	0.101410829850515	1	0	FALSE	FALSE	FALSE
NCI-H810	COSMIC	2	790	0.653710353086606	1	0	FALSE	FALSE	FALSE
BB49-HNC	COSMIC	2	199	0.0278507242254562	1	0	TRUE	FALSE	FALSE
NB5	COSMIC	2	484	0.0386261741806252	1	0	TRUE	FALSE	FALSE
NCI-H69	COSMIC	2	399	0.0347760390887501	1	0	TRUE	FALSE	FALSE
EKVX	CELLMINER	1	611	0.958732249192662	1	0	FALSE	FALSE	FALSE
DU_145	CELLMINER	1	2172	0.999999960924014	1	0	FALSE	FALSE	FALSE
CCRF_CEM	CELLMINER	1	1451	0.978529167274964	1	0	FALSE	FALSE	FALSE
SK_MEL_28	CELLMINER	1	547	1	1	0	FALSE	FALSE	FALSE
TK_10	CELLMINER	1	472	0.999493049458195	1	0	FALSE	FALSE	FALSE
IGROV1	CELLMINER	1	1089	0.997057531685321	1	0	FALSE	FALSE	FALSE
SNB_19	CELLMINER	1	222	0.901096527850265	1	0	FALSE	FALSE	FALSE
MCF7	CELLMINER	1	763	0.968808749055576	1	0	FALSE	FALSE	FALSE
HOP_92	CELLMINER	1	450	0.949094978198931	1	0	FALSE	FALSE	FALSE
HS578T	CELLMINER	1	586	0.998303231815966	1	0	FALSE	FALSE	FALSE
A549	CELLMINER	1	362	0.999984260326137	1	0	FALSE	FALSE	FALSE
NCI-H1770	COSMIC	1	1553	0.827260345312345	1	0	FALSE	FALSE	FALSE
COLO-783	COSMIC	1	920	0.166818610266629	1	0	FALSE	FALSE	FALSE
SW982	COSMIC	1	714	0.352500627434805	1	0	FALSE	FALSE	FALSE
NCI-H1792	COSMIC	1	364	0.380052819280223	1	0	FALSE	FALSE	FALSE
OC-314	COSMIC	1	3242	0.273958438737347	1	0	FALSE	FALSE	FALSE
HDQ-P1	COSMIC	1	430	0.315344064667248	1	0	FALSE	FALSE	FALSE
HCT-15	COSMIC	1	8216	0.194707210068682	1	0	FALSE	FALSE	FALSE
KARPAS-45	COSMIC	1	8831	0.333939707315506	1	0	FALSE	FALSE	FALSE
MFE-319	COSMIC	1	6174	0.202832913183368	1	0	FALSE	FALSE	FALSE
CESS	COSMIC	1	367	0.137966085942225	1	0	FALSE	FALSE	FALSE
CML-T1	COSMIC	1	2467	0.167421905217186	1	0	FALSE	FALSE	FALSE
MOLT-13	COSMIC	1	1361	0.217140085432215	1	0	FALSE	FALSE	FALSE
DAUDI	COSMIC	1	10548	0.272905588614112	1	0	FALSE	FALSE	FALSE
LS-411N	COSMIC	1	5016	0.561619745249731	1	0	FALSE	FALSE	FALSE
HCC2998	COSMIC	1	9323	0.241701034920052	1	0	FALSE	FALSE	FALSE
EVSA-T	COSMIC	1	717	0.830246266711766	1	0	FALSE	FALSE	FALSE
HCT-116	COSMIC	1	3004	0.266556409852755	1	0	FALSE	FALSE	FALSE
LNCAP-CLONE-FGC	COSMIC	1	3848	0.226161880149485	1	0	FALSE	FALSE	FALSE
SW48	COSMIC	1	2682	0.27185121464022	1	0	FALSE	FALSE	FALSE
JURKAT	COSMIC	1	6378	0.24005113397134	1	0	FALSE	FALSE	FALSE
MHH-PREB-1	COSMIC	1	2486	0.330552484627707	1	0	FALSE	FALSE	FALSE
NCI-H1963	COSMIC	1	526	0.172232594997753	1	0	FALSE	FALSE	FALSE
CAPAN-1	COSMIC	1	317	0.155884384247468	1	0	FALSE	FALSE	FALSE
NCI-SNU-1	COSMIC	1	2190	0.181177985598411	1	0	FALSE	FALSE	FALSE
LOUCY	COSMIC	1	231	0.233415622542479	1	0	FALSE	FALSE	FALSE
RCC-ER	COSMIC	1	248	0.138590232141712	1	0	FALSE	FALSE	FALSE
SNU-C5	COSMIC	1	3473	0.34161783473529	1	0	FALSE	FALSE	FALSE
SNG-M	COSMIC	1	2398	0.204563459992356	1	0	FALSE	FALSE	FALSE
MKN7	COSMIC	1	406	0.286991383121242	1	0	FALSE	FALSE	FALSE
MCC13	COSMIC	1	5999	0.318808089984583	1	0	FALSE	FALSE	FALSE
JSC-1	COSMIC	1	1027	0.999228589254501	1	0	FALSE	FALSE	FALSE
GR-ST	COSMIC	1	3719	0.175225177287318	1	0	FALSE	FALSE	FALSE
CL-34	COSMIC	1	1508	0.14170420395141	1	0	FALSE	FALSE	FALSE
GB-1	COSMIC	1	580	0.119030340264513	1	0	FALSE	FALSE	FALSE
M14	COSMIC	1	1798	0.169229175291029	1	0	FALSE	FALSE	FALSE
HARA	COSMIC	1	1001	0.168024764161807	1	0	FALSE	FALSE	FALSE
KM12	COSMIC	1	3755	0.29928326837692	1	0	FALSE	FALSE	FALSE
NCI-H441	COSMIC	1	608	0.150978867752288	1	0	FALSE	FALSE	FALSE
MN-60	COSMIC	1	1562	0.304342252857413	1	0	FALSE	FALSE	FALSE
P31-FUJ	COSMIC	1	858	0.221664029384801	1	0	FALSE	FALSE	FALSE
GP5D	COSMIC	1	6451	0.352031217680719	1	0	FALSE	FALSE	FALSE
NALM-6	COSMIC	1	2292	0.185319417571721	1	0	FALSE	FALSE	FALSE
FARAGE	COSMIC	1	1570	0.249897065470982	1	0	FALSE	FALSE	FALSE
ES-2	COSMIC	1	682	0.295720146914369	1	0	FALSE	FALSE	FALSE
SW1116	COSMIC	1	379	0.302828397312603	1	0	FALSE	FALSE	FALSE
SK-MEL-28	COSMIC	1	540	0.267087615007829	1	0	FALSE	FALSE	FALSE
NCI-H1092	COSMIC	1	574	0.142946644450707	1	0	FALSE	FALSE	FALSE
SF539	COSMIC	1	279	0.228401067562211	1	0	FALSE	FALSE	FALSE
NCI-H1573	COSMIC	1	1995	0.318808089984583	1	0	FALSE	FALSE	FALSE
SHP-77	COSMIC	1	703	0.161369283439023	1	0	FALSE	FALSE	FALSE
201T	COSMIC	1	512	0.169229175291029	1	0	FALSE	FALSE	FALSE
RCC-FG2	COSMIC	1	584	0.348263691490456	1	0	FALSE	FALSE	FALSE
BC-3	COSMIC	1	1049	0.187676556629181	1	0	FALSE	FALSE	FALSE
DND-41	COSMIC	1	3102	0.139213927295143	1	0	FALSE	FALSE	FALSE
SNU-61	COSMIC	1	421	0.296230269298821	1	0	FALSE	FALSE	FALSE
LU-165	COSMIC	1	695	0.206865024345613	1	0	FALSE	FALSE	FALSE
CPC-N	COSMIC	1	466	0.374184235497831	1	0	FALSE	FALSE	FALSE
NCI-H2172	COSMIC	1	1933	0.202832913183368	1	0	FALSE	FALSE	FALSE
NCI-H2342	COSMIC	1	2810	0.215436848491559	1	0	FALSE	FALSE	FALSE
EMC-BAC-2	COSMIC	1	263	0.19645536299643	1	0	FALSE	FALSE	FALSE
TGBC11TKB	COSMIC	1	2183	0.368717880015517	1	0	FALSE	FALSE	FALSE
NCI-H720	COSMIC	1	508	0.29775842479197	1	0	FALSE	FALSE	FALSE
SW156	COSMIC	1	546	0.164401064107021	1	0	FALSE	FALSE	FALSE
BV-173	COSMIC	1	374	0.154048139532381	1	0	FALSE	FALSE	FALSE
KYSE-50	COSMIC	1	518	0.217140085432215	1	0	FALSE	FALSE	FALSE
HCE-4	COSMIC	1	535	0.276059576221369	1	0	FALSE	FALSE	FALSE
HSC-3	COSMIC	1	508	0.176419184473989	1	0	FALSE	FALSE	FALSE
NCI-H1915	COSMIC	1	541	0.27185121464022	1	0	FALSE	FALSE	FALSE
SK-MG-1	COSMIC	1	401	0.180584639614459	1	0	FALSE	FALSE	FALSE
H2731	COSMIC	1	213	0.150363680927103	1	0	FALSE	FALSE	FALSE
CTB-1	COSMIC	1	632	0.234525543344374	1	0	FALSE	FALSE	FALSE
NUGC-4	COSMIC	1	479	0.254772181322157	1	0	FALSE	FALSE	FALSE
WM793B	COSMIC	1	765	0.991459369674432	1	0	FALSE	FALSE	FALSE
NCI-H345	COSMIC	1	1032	0.24772014232384	1	0	FALSE	FALSE	FALSE
HCC-15	COSMIC	1	1007	0.174029442360423	1	0	FALSE	FALSE	FALSE
BECKER	COSMIC	1	366	0.221099966451952	1	0	FALSE	FALSE	FALSE
GAMG	COSMIC	1	237	0.583622402140053	1	0	FALSE	FALSE	FALSE
ST486	COSMIC	1	331	0.412001469818754	1	0	FALSE	FALSE	FALSE
NCI-H1975	COSMIC	1	399	0.423814965008855	1	0	FALSE	FALSE	FALSE
SNU-475	COSMIC	1	476	0.688502854525184	1	0	FALSE	FALSE	FALSE
NCI-H446	COSMIC	1	899	0.339227958028925	1	0	FALSE	FALSE	FALSE
KINGS-1	COSMIC	1	310	0.25152563063749	1	0	FALSE	FALSE	FALSE
RH-18	COSMIC	1	380	0.127918138105474	1	0	FALSE	FALSE	FALSE
COR-L321	COSMIC	1	682	0.118392048987009	1	0	FALSE	FALSE	FALSE
MHH-CALL-4	COSMIC	1	225	0.166818610266629	1	0	FALSE	FALSE	FALSE
OCI-AML2	COSMIC	1	220	0.237845691159602	1	0	FALSE	FALSE	FALSE
PCI-4B	COSMIC	1	334	0.192370433285728	1	0	FALSE	FALSE	FALSE
PFSK-1	COSMIC	1	179	0.152207907972146	1	0	FALSE	FALSE	FALSE
KP-4	COSMIC	1	313	0.199360538081253	1	0	FALSE	FALSE	FALSE
